,text,setiment
15,"['it', 'heavy', 'heart', 'i', 'calling', 'sake', 'democracy', 'th', 'amendment', 'invoked', 'my', 'statement']",neutral
16,"['i', 'visited', 'nations', 'ravaged', 'civil', 'war', 'donald', 'trump', 'i', 'never', 'imagined', 'quote', 'repeated', 'president', 'this', 'beyond', 'repugnant']",negative
17,['istanbul'],negative
18,"['i', 'yet', 'said', 'publicly', 'i', 'want', 'on', 'wednesday', 'i', 'felt', 'literally', 'real', 'evil', 'insurrection', 'went', 'it', 'something', 'happens', 'much', 'i', 'never', 'felt', 'stronger', 'day', 'mass', 'deception']",negative
19,"['the', 'prosecution', 'compelling', 'donald', 'trump', 'incited', 'directed', 'insurrection', 'he', 'knew', 'i', 'imagine', 'could', 'bring', 'deeper', 'challenges']",negative
20,"['today', 'i', 'asked', 'serve', 'bipartisan', 'january', 'th', 'select', 'committee', 'i', 'humbly', 'accepted', 'duty', 'calls', 'i', 'always', 'answer', 'y', 'y']",positive
21,"['mr', 'president', 'i', 'see', 'busy', 'morning', 'executive', 'time', 'instead', 'tweeting', 'false', 'smears', 'american', 'people', 'would', 'appreciate', 'turned', 't', 'v', 'helped', 'solve', 'funding', 'crisis', 'protected', 'dreamers', 'really', 'anything', 'else']",negative
22,"['little', 'adam', 'schiff', 'desperate', 'run', 'higher', 'office', 'one', 'biggest', 'liars', 'leakers', 'washington', 'right', 'comey', 'warner', 'brennan', 'clapper', 'adam', 'leaves', 'closed', 'committee', 'hearings', 'illegally', 'leak', 'confidential', 'information', 'must', 'stopped']",negative
23,"['my', 'colleague', 'ilhan', 'm', 'n', 'fights', 'day', 'improve', 'lives', 'people', 'throughout', 'america', 'the', 'comments', 'tucker', 'carlson', 'last', 'night', 'rude', 'he', 'quotes', 'jack', 'kirby', 'thus', 'as', 'long', 'experimenting', 'radioactivity', 'telling', 'may', 'happen', 'much', 'advancements', 'science', 'may', 'cost', 'us']",negative
24,"['i', 'misspoke', 'morning', 'i', 'believe', 'everything', 'force', 'senate', 'fair', 'trial', 'if', 'speaker', 'believes', 'holding', 'articles', 'longer', 'time', 'help', 'force', 'fair', 'trial', 'senate', 'i', 'wholeheartedly', 'support', 'decision']",neutral
25,['donaldson'],negative
26,"['from', 'europe', 'america', 'g', 'esports', 'brash', 'frontman', 'ocelote', 'building', 'empire', 'carlos', 'r', 'g', 'es']",neutral
27,"['v', 'c', 'coast', 'coast', 'mac', 'conwell', 'rarebreed', 'v', 'c', 'rise', 'of', 'rest', 'ma', 'c', 'venture', 'cap']",neutral
28,"['sorry', 'break', 'replay', 'policies', 'nothing', 'complicated', 'tough', 'crime', 'government', 'providing', 'stellar', 'social', 'services', 'prevent', 'poverty', 'criminality', 'it', 'called', 'managementtalented', 'capable', 'f', 'f', 'residents', 'need', 'run', 'office']",neutral
29,"['great', 'poise', 'his', 'mom', 'raised', 'terrific']",positive
30,"['two', 'went', 'lots', 'interesting', 'factoids', 'good', 'company']",positive
31,"['interesting', 'factor', 'ward', 'ward', 'elected', 'native', 'washingtonians', 'council', 'ward', 'seat']",neutral
32,"['great', 'meeting', 'ivanka', 'trump', 'rep', 'kristi', 'noem', 'rep', 'tom', 'reed', 'afternoon', 'ways', 'help', 'working', 'families', 'tax', 'reform']",positive
33,"['free', 'a', 's', 'a', 'p']",neutral
34,"['how', 'top', 'evade', 'taxes', 'every', 'year', 'immigrants', 'called', 'freeloaders']",negative
35,"['welcome', 'p', 'o', 't', 'you', 's', 'greater', 'cincinnati', 'we', 'thrilled', 'president', 'choosing', 'visit', 'kentucky', 'ohio', 'celebrate', 'historic', 'billion', 'federal', 'money', 'going', 'towards', 'brent', 'spence', 'bridge', 'project', 'this', 'long', 'time', 'coming']",positive
36,"['nice', 'speech', 'lindsey', 'graham', 's', 'c', 'but', 'i', 'seem', 'recall', 'called', 'go', 'ahead', 'a', 'r', 'secretaries', 'state', 'find', 'votes', 'golf', 'buddy']",neutral
37,"['nice', 'speech', 'lindsey', 'graham', 's', 'c', 'but', 'i', 'seem', 'recall', 'called', 'go', 'ahead', 'a', 'r', 'secretaries', 'state', 'find', 'votes', 'golf', 'buddy']",neutral
38,"['thanks', 'american', 'voters', 'back', 'paris', 'agreement', 'america', 'poised', 'lead', 'world', 'climate', 'action', 'working', 'allies', 'build', 'better', 'future', 'us', 'time', 'get', 'back', 'work']",positive
39,"['today', 'election', 'results', 'mark', 'significant', 'turning', 'point', 'future', 'brazil', 'demonstrate', 'power', 'democracy', 'advance', 'progress', 'planet', 'people', 'part', 'i']",positive
40,"['today', 'decision', 'disappointment', 'surprise', 'it', 'result', 'coordination', 'fossil', 'fuel', 'lobby', 'dismantle', 'progress', 'toward', 'climate', 'solutions', 'this', 'ruling', 'mean', 'options', 'we', 'must', 'call', 'congress', 'discard', 'climate', 'legislation', 'no']",negative
41,"['a', 'superb', 'choice', 'president', 'elect', 'joe', 'biden', 'john', 'kerry', 'climate', 'envoy', 'kerry', 'experience', 'passion', 'exactly', 'need', 'restore', 'american', 'leadership', 'abroad', 'repair', 'alliances', 'crucial', 'solving', 'climate', 'crisis']",positive
42,"['joe', 'biden', 'selected', 'extraordinary', 'running', 'mate', 'kamala', 'harris']",positive
43,"['nancy', 'pelosi', 'greatest', 'effective', 'speaker', 'y', 'o', 'you', 's', 'house', 'representatives', 'american', 'history', 'thank', 'speaker', 'pelosi', 'dedicated', 'service', 'leadership']",positive
44,"['the', 'inflation', 'reduction', 'act', 'potential', 'historic', 'turning', 'point', 'it', 'represents', 'single', 'largest', 'investment', 'climate', 'solutions', 'environmental', 'justice', 'you', 's', 'history', 'decades', 'tireless', 'work', 'climate', 'advocates', 'across', 'country', 'led', 'moment']",positive
45,"['in', 'america', 'one', 'person', 'political', 'party', 'alter', 'unassailable', 'principle', 'rule', 'law', 'prevails', 'every', 'vote', 'must', 'counted', 'election', 'american', 'people', 'determine', 'outcome', 'we', 'must', 'remain', 'calm', 'democracy', 'win', 'day']",positive
46,"['senators', 'reject', 'mike', 'pompeo', 'nomination', 'secretary', 'state', 'he', 'denies', 'climate', 'crisis', 'bidding', 'fossil', 'fuel', 'interests', 'whole', 'career', 'the', 'american', 'people', 'deserve', 'better']",negative
47,"['reminder', 'despite', 'president', 'trump', 'best', 'efforts', 'y', 'o', 'you', 's', 'officially', 'withdraw', 'paris', 'agreement', 'one', 'day', 'next', 'presidential', 'election', 'takes', 'days', 'new', 'president', 'get', 'us', 'back', 'this', 'decision', 'hands', 'voters']",neutral
48,"['today', 'floor', 'congress', 'united', 'states', 'america', 'i', 'call', 'impeachment', 'president']",neutral
49,"['within', 'next', 'minutes', 'i', 'announce', 'impeachment', 'plans', 'floor', 'house', 'representatives', 'we', 'date', 'destiny', 'in', 'fact', 'trump', 'impeachment', 'trump']",neutral
50,"['i', 'month', 'bring', 'impeachment', 'vote', 'floor', 'y', 'o', 'you', 's', 'house', 'representatives', 'bigotry', 'policy', 'harmful', 'society', 'racist', 'president', 'impeach', 'now']",negative
51,"['j', 'p']",negative
52,"['donald', 'trump', 'racism', 'antisemitism', 'transphobia', 'xenophobia', 'islamophobia', 'longer', 'tolerated', 'ignored', 'we', 'must', 'impeach', 'racist', 'president', 'impeach', 'now']",negative
53,"['mr', 'president', 'maliciously', 'attacking', 'whistleblower', 'promoting', 'civil', 'unrest', 'avoid', 'impeachment', 'save', 'you', 'already', 'impeached', 'bigotry', 'corruption', 'disloyalty', 'country', 'civil', 'war', 'impeach']",negative
54,"['trump', 'says', 'i', 'troublemaker', 'con', 'man', 'i', 'make', 'trouble', 'bigots', 'if', 'really', 'thought', 'i', 'con', 'man', 'would', 'want', 'cabinet']",negative
55,"['let', 'us', 'pray', 'rev', 'mrs', 'jesse', 'jackson', 'they', 'need', 'sincere', 'intense', 'prayers', 'prayer', 'changes', 'things']",positive
56,"['this', 'week', 'spirit', 'unity', 'i', 'made', 'moral', 'appeal', 'white', 'house', 'consider', 'homeless', 'incarcerated', 'amid', 'c', 'o', 'v', 'd', 'to', 'surprise', 'donald', 'trump', 'called', 'discuss', 'if', 'trump', 'call', 'critic', 'like', 'al', 'sharpton', 'find', 'us', 'come', 'together']",neutral
57,"['this', 'way', 'world', 'ends', 'ways', 'world', 'ends', 'bang', 'ring', 'bong']",neutral
58,"['i', 'voted', 'bernie', 'sanders', 'today', 'democratic', 'presidential', 'nomination', 'world', 'better', 'place', 'join', 'together', 'make', 'way', 'bernie', 'sanders', 'sanderssanders', 'feel', 'bern']",positive
59,"['i', 'hereby', 'endorse', 'bernie', 'sanders', 'democratic', 'nominee', 'president', 'united', 'states', 'feel', 'bern']",positive
60,"['just', 'going', 'leave']",neutral
61,"['it', 'bears', 'repeating', 'filibuster', 'part', 'constitution', 't', 'h', 'e', 'r', 'i', 'g', 'h', 'h', 't', 't', 'o', 'o', 't', 'e', 'i', 's']",neutral
62,"['to', 'fellow', 'senators', 'let', 'us', 'honest', 'order', 'much', 'sent', 'washington', 'h', 'a', 'v', 'e', 'leverage', 'power', 'mitch', 'mc', 'connell', 'shown', 'us', 'time', 'time', 'holding', 'compromise', 'fool', ""'s"", 'errand', 'we', 'm', 'you', 's', 'tend', 'filibuster']",negative
63,"['retweet', 'if', 'believe', 'vote', 'mail', 'available', 'voters', 'matter', 'state', 'live']",neutral
64,"['say', 'filibuster', 'save', 'our', 'democracy']",neutral
65,"['i', 's', 't', 'r', 'o', 'n', 'g', 'g', 'g', 'm', 'd', 'e', 'r', 't', 'e', 'e', 'g', 'm', 'i', 'm', 'i', 'n', 'a', 't', 'i', 't', 'i', 'i', 'e', 'e', 'e', 's', 'e', 'e', 'r', 'i', 's', 'a', 'v', 'e', 'r', 'e', 'r', 'f', 'd', 'e', 's', 'a', 'c', 'c', 'e', 's', 's', 'a', 'r', 'o', 'a', 'c', 'y', 's', 'h', 'a', 'r', 'e', 'e', 'p']",positive
66,"['immigrants', 'make', 'america', 'great']",positive
67,"['again', 'back', 't', 'h', 'e', 'f', 'i', 'l', 'i', 'b', 'you', 's', 't', 'r', 'r', 'i', 's', 'n', 'o', 'e', 'e', 'e', 's', 'n', 'e', 's', 'e', 's', 's', 'e', 'e', 'p']",negative
68,"['i', 'keep', 'saying', 'longer', 'needs', 'said', 'p', 'in', 'march', 'first', 'sign', 'serious', 'rebellion', 'italians', 'fascist', 'regime', 'war', 'began', 'strike', 'factory', 'workers', 'joined', 'soldiers', 'singing', 'communist', 'songs', 'even', 'rank', 'file', 'fascist', 'party', 'members']",negative
69,"['e', 'n', 'd', 't', 'h', 'e', 'f', 'i', 'l', 'i', 'c', 'h', 'h', 'e', 'e', 'r', 'p', 'a', 's', 's', 't', 'e', 'e', 'e', 'f', 'o', 'r', 'e', 'e', 'p', 'e', 'e', 'o', 'p', 'e', 'a', 'c', 't']",neutral
70,"['i', 'keep', 'saying', 'true', 'p', 'in', 'march', 'first', 'sign', 'serious', 'rebellion', 'italians', 'fascist', 'regime', 'war', 'began', 'strike', 'factory', 'workers', 'joined', 'soldiers', 'singing', 'communist', 'songs', 'even', 'rank']",neutral
71,"['nowhere', 'america', 'illegal', 'pass', 'water', 'waiting', 'line', 'vote', 'retweet', 'agree']",neutral
72,"['i', 'continue', 'say', 'loud', 'clear', 'filibuster', 'fundamentally', 'undemocratic', 'must', 'eliminated']",negative
73,"['i', 'continue', 'stand', 'president', 'donald', 'trump', 'expose', 'sham', 'impeachment', 'process']",neutral
74,"['today', 'i', 'denied', 'opportunity', 'attend', 'secret', 'called', 'impeachment', 'hearings', 'i', 'continue', 'fight', 'behalf', 'constituents', 'expose', 'sham', 'process', 'stand', 'president', 'donald', 'trump']",negative
75,"['b', 'r', 'e', 'a', 'k', 'i', 'g', 'hearing', 'room', 'exposing', 'adam', 'schiff', ""'s"", 'secret', 'called', 'impeachment', 'inquiry']",neutral
76,"['decepcionada', 'wanda', 'rol', 'noc', 'el', 'gobernador', 'tras', 'vetar', 'proyecto', 'de', 'libertad', 'religiosa', 'noti', 'uno']",neutral
77,"['decepcionada', 'wanda', 'rol', 'noc', 'el', 'gobernador', 'tras', 'vetar', 'proyecto', 'de', 'libertad', 'religiosa', 'noti', 'uno']",neutral
78,['impeach'],neutral
79,"['i', 'okay']",neutral
80,"['congratulations', 'president', 'elect', 'joe', 'biden', 'vice', 'president', 'elect', 'kamala', 'harris']",positive
81,['impeach'],neutral
82,"['i', 'okay']",neutral
83,"['congratulations', 'president', 'elect', 'joe', 'biden', 'vice', 'president', 'elect', 'kamala', 'harris']",positive
84,"['very', 'proud', 'emotional', 'moment', 'today', 'the', 'house', 'passed', 'bill', 'eliminating', 'deposit', 'cans', 'in', 'reference', 'non', 'citizens', 'whose', 'rights', 'supposedly', 'infringed']",positive
85,"['president', 'obama', 'bringing', 'f', 'i', 'r', 'e', 'tonight', 'wisconsin', 'calling', 'folks', 'name', 'telling', 'truth', 'republican', 'plans', 'roll', 'back', 'social', 'security']",neutral
86,"['holy', 'shit']",neutral
87,"['it', 'grave', 'concern', 'generations', 'family', 'fought', 'preserve', 'individual', 'constitutional', 'liberties', 'like', 'freedom', 'speech', 'yet', 'technocratic', 'secular', 'fascists', 'decided', 'end', 'americans', 'ruthless', 'nature', 'left', 'full', 'display', 'undebatable']",negative
88,"['it', 'grave', 'concern', 'generations', 'family', 'fought', 'preserve', 'individual', 'constitutional', 'liberties', 'like', 'freedom', 'speech', 'yet', 'technocratic', 'secular', 'fascists', 'decided', 'end', 'americans', 'ruthless', 'nature', 'left', 'full', 'display', 'undebatable']",negative
89,"['congress', 'never', 'allowed', 'impeached', 'president', 'fill', 'supreme', 'court', 'vacancy', 'pass', 'on']",neutral
90,"['i', 'proud', 'cast', 'vote', 'sixth', 'time', 'honorable', 'hakeemjeffries', 'speaker', 'house']",positive
91,"['we', 'trying', 'mr', 'president', 'trying']",positive
92,"['are', 'allowed', 'impeach', 'president', 'gross', 'incompetence']",negative
93,"['thank', 'president', 'trump', 'it', 'great', 'honor', 'declare', 'sunday', 'march', 'th', 'national', 'day', 'prayer', 'we', 'country', 'throughout', 'history', 'looked', 'god', 'protection', 'strength', 'times', 'crisis', 'p', 'in', 'march', 'first', 'sign', 'serious', 'rebellion', 'italians', 'fascist', 'regime', 'war', 'began', 'strike', 'factory', 'workers', 'joined', 'soldiers', 'singing', 'communist', 'songs', 'even', 'rank', 'file', 'fascist', 'party', 'members']",positive
94,"['t', 'r', 'you', 'm', 'p', 'i', 's', 's', 't', 'i', 'l', 'l', 'n', 'o', 't', 'r', 'a', 'c', 'i', 's', 't']",neutral
95,"['thank', 'president', 'trump', 'it', 'great', 'honor', 'declare', 'sunday', 'march', 'th', 'national', 'day', 'prayer', 'we', 'country', 'throughout', 'history', 'looked', 'god', 'protection', 'strength', 'times', 'crisis', 'p', 'in', 'march', 'first', 'sign', 'serious', 'rebellion', 'italians', 'fascist', 'regime', 'war', 'began', 'strike', 'factory', 'workers', 'joined', 'soldiers', 'singing', 'communist', 'songs', 'even', 'rank', 'file', 'fascist', 'party', 'members']",positive
96,"['hi', 'k', 'st', 'louis', 'barack', 'obama']",neutral
97,"['you', 'made', 'barbuda', 'produce', 'birth', 'certificate', 'years', 'fact']",negative
98,"['requiring', 'f', 'b', 'i', 'investigation', 'year', 'old', 'allegation', 'without', 'specific', 'references', 'time', 'location', 'professor', 'ford', 'appear', 'judiciary', 'committee', 'finding', 'truth', 'delaying', 'process', 'till', 'midterm', 'elections']",negative
99,['istanbul'],neutral
100,"['get', 'lawn']",negative
101,"['well', 'great']",positive
102,"['police', 'officer', 'derek', 'chauvin', 'arrested', 'custody', 'murder', 'george', 'floyd', 'the', 'first', 'step', 'towards', 'justice']",neutral
103,"['thanks', 'sent', 'kind', 'words', 'prayers', 'husband', 'john', 'he', 'hospital', 'year', 'a', 'unhealthy', 'coping', 'mechanism', 'developed', 'suppress', 'avoid', 'feelings', 'marital', 'problems']",positive
104,"['get', 'lawn']",negative
105,"['well', 'great']",positive
106,"['police', 'officer', 'derek', 'chauvin', 'arrested', 'custody', 'murder', 'george', 'floyd', 'the', 'first', 'step', 'towards', 'justice']",neutral
107,"['thanks', 'sent', 'kind', 'words', 'prayers', 'husband', 'john', 'he', 'hospital', 'year', 'a', 'unhealthy', 'coping', 'mechanism', 'developed', 'suppress', 'avoid', 'feelings', 'marital', 'problems']",positive
108,"['i', 'running', 'replace', 'mitch', 'mc', 'connell', 'y', 'o', 'you', 's', 'senate', 'everything', 'wrong', 'washington', 'start', 'somewhere', 'started', 'with', 'help', 'defeat', 'mitch', 'defend', 'democracy', 'join', 'us', 'amy', 'm', 'grath']",neutral
109,"['mitch', 'mc', 'connell', 'office', 'since', 'i', 'years', 'old', 'we', 'need', 'term', 'limits']",negative
110,"['the', 'voters', 'new', 'york', 'state', 'spoken', 'elected', 'clear', 'democratic', 'majority', 'state', 'senate', 'while', 'results', 'elections', 'still', 'determined', 'least', 'senate', 'democratic', 'conference', 'members', 'already', 'election', 'tonight']",positive
111,"['wonderful', 'christian', 'smalls', 'albany', 'today', 'his', 'hard', 'work', 'build', 'victory', 'workers', 'everywhere', 'let', 'us', 'continue', 'build', 'momentum']",positive
112,"['health', 'care', 'workers', 'wear', 'masks', 'hours', 'non', 'stop', 'you', 'wear', 'one', 'minutes']",neutral
113,"['i', 'replacing', 'earlier', 'concession', 'unapologetic', 'uncompromising', 'call', 'count', 'every', 'vote']",neutral
114,"['mayor', 'gillum', 'conceded', 'on', 'election', 'day', 'broward', 'county', 'put', 'back', 'play', 'bill', 'nelson', 'conceded', 'election', 'back', 'play', 'this', 'embarrassment', 'country', 'democracy']",negative
115,"['i', 'replacing', 'earlier', 'concession', 'unapologetic', 'uncompromising', 'call', 'count', 'every', 'vote']",neutral
116,"['mayor', 'gillum', 'conceded', 'on', 'election', 'day', 'broward', 'county', 'put', 'back', 'play', 'bill', 'nelson', 'conceded', 'election', 'back', 'play', 'this', 'embarrassment', 'country', 'democracy']",negative
117,"['president', 'trump', 'remarks', 'telling', 'colleagues', 'go', 'back', 'came', 'reveals', 'narrow', 'minded', 'ideas', 'belongs', 'country', 'they', 'principled', 'americans', 'belong', 'right', 'congress', 'pushing', 'back', 'dangerous', 'agenda']",negative
118,"['i', 'stand', 'solidarity', 'people', 'indiana', 'around', 'world', 'rallying', 'today', 'support', 'palestinian', 'rights', 'i', 'continue', 'use', 'position', 'congress', 'platform', 'champion', 'palestinian', 'people', 'work', 'toward', 'lasting', 'peace', 'day', 'action', 'save', 'sheikh', 'jarrah']",positive
119,"['more', 'year', 'president', 'trump', 'negotiated', 'north', 'america', 'trade', 'deal', 'good', 'finally', 'see', 'unnecessary', 'partisan', 'delay', 'speaker', 'nancy', 'pelosi', 'pass', 'united', 'states', 'mexico', 'canada', 'agreement', 'you', 's', 'm', 'c', 'a', 'coming', 'end']",positive
120,"['today', 'i', 'delivered', 'letter', 'a', 'o', 'c', 'calling', 'apologize', 'comments', 'colleague', 'dan', 'crenshaw', 't', 'x', 'plans', 'trip', 'kentucky', 'learn', 'green', 'new', 'deal', 'could', 'impact', 'commonwealth']",neutral
121,"['a', 'beautiful', 'tribute', 'beautiful', 'life', 'forever', 'hearts']",positive
122,"['the', 'democratic', 'majority', 'leader', 'told', 'us', 'call', 'possibly', 'tonight', 'within', 'one', 'hour', 'notice', 'vote', 'multi', 'thousand', 'page', 'bill', 'one', 'read', 'cost', 'scored', 'might', 'largest', 'tax', 'increase', 'spending', 'bill', 'american', 'history']",neutral
123,"['congressman', 'andy', 'barr', 'released', 'statement', 'regarding', 'sudden', 'passing', 'wife', 'carol', 'tuesday', 'evening']",neutral
124,"['thank', 'kentucky']",positive
125,"['it', 'official', 'thank', 'kentucky', 'gov', 'matt', 'bevin', 'team', 'already', 'begun', 'smooth', 'transition', 'it', 'time', 'get', 'work']",positive
126,"['men', 'get', 'pregnant']",neutral
127,"['no', 'voter', 'i', 'd', 'get', 'ballot', 'anonymous', 'ballot', 'harvesting', 'hidden', 'speaker', 'pelosi', 'coronavirus', 'bill', 'these', 'issues', 'addressed', 'time', 'single', 'issue', 'bills']",negative
128,"['this', 'bill', 'unconstitutional', 'americans', 'constitutional', 'right', 'self', 'defense']",negative
129,"['when', 'i', 'requested', 'f', 'e', 'm', 'a', 'stand', 'coronavirus', 'test', 'site', 'south', 'jersey', 'told', 'white', 'house', 'said', 'no', 'now', 'know']",negative
130,"['took', 'moment', 'votes', 'visit', 'members', 'n', 'j', 'national', 'guard', 'protecting', 'capitol', 'thank', 'make', 'sure', 'caffeinated', 'night', 'shift', 'can', 'thank', 'enough', 'service', 'keeping', 'us', 'safe']",positive
131,"['i', 'proud', 'today', 'announce', 'kathleen', 'palmer', 'senior', 'shawnee', 'high', 'school', 'medford', 'winner', 'congressional', 'art', 'competition', 'district', 'her', 'artwork', 'see', 'displayed', 'y', 'o', 'you', 's', 'capitol']",positive
132,"['my', 'wife', 'thrilled', 'i', 'put', 'lego', 'millennium', 'falcon', 'wedding', 'registry', 'to', 'seem', 'completely', 'self', 'indulgent', 'i', 'told', 'i', 'would', 'wait', 'kids', 'build', 'today', 'patient', 'years', 'adventure', 'begins', 'may', 'th', 'may', 'the', 'th', 'be', 'with', 'you']",neutral
133,"['my', 'year', 'old', 'boy', 'came', 'home', 'asked', 'bigger', 'kid', 'kept', 'calling', 'chinese', 'boy', 'my', 'son', 'confused', 'told', 'boy', 'i', 'new', 'jersey', 'boy', 'he', 'laughed', 'eyes', 'welled', 'years', 'ago', 'parents', 'immigrated', 'shake', 'shadow', 'foreignness', 'stop', 'asian', 'hate']",neutral
134,"['when', 'i', 'requested', 'f', 'e', 'm', 'a', 'stand', 'coronavirus', 'test', 'site', 'south', 'jersey', 'told', 'white', 'house', 'said', 'no', 'now', 'know']",negative
135,"['took', 'moment', 'votes', 'visit', 'members', 'n', 'j', 'national', 'guard', 'protecting', 'capitol', 'thank', 'make', 'sure', 'caffeinated', 'night', 'shift', 'can', 'thank', 'enough', 'service', 'keeping', 'us', 'safe']",positive
136,"['i', 'proud', 'today', 'announce', 'kathleen', 'palmer', 'senior', 'shawnee', 'high', 'school', 'medford', 'winner', 'congressional', 'art', 'competition', 'district', 'her', 'artwork', 'see', 'displayed', 'y', 'o', 'you', 's', 'capitol']",positive
137,"['my', 'wife', 'thrilled', 'i', 'put', 'lego', 'millennium', 'falcon', 'wedding', 'registry', 'to', 'seem', 'completely', 'self', 'indulgent', 'i', 'told', 'i', 'would', 'wait', 'kids', 'build', 'today', 'patient', 'years', 'adventure', 'begins', 'may', 'th', 'may', 'the', 'th', 'be', 'with', 'you']",neutral
138,"['my', 'year', 'old', 'boy', 'came', 'home', 'asked', 'bigger', 'kid', 'kept', 'calling', 'chinese', 'boy', 'my', 'son', 'confused', 'told', 'boy', 'i', 'new', 'jersey', 'boy', 'he', 'laughed', 'eyes', 'welled', 'years', 'ago', 'parents', 'immigrated', 'shake', 'shadow', 'foreignness', 'stop', 'asian', 'hate']",neutral
139,"['a', 'cool', 'moment', 'today', 'inauguration', 'governor', 'wes', 'moore', 'bowie', 'high', 'school', 'marching', 'band', 'invited', 'perform', 'historic', 'moment', 'statego', 'bulldogs', 'prince', 'georges', 'proud', 'p', 'g', 'c', 'p', 's', 'proud']",positive
140,"['congrats', 'frances', 'tiafoe', 'this', 'prince', 'george', 'scott', 'anne']",positive
141,"['we', 'waiting', 'four', 'months']",positive
142,"['a', 'cool', 'moment', 'today', 'inauguration', 'governor', 'wes', 'moore', 'bowie', 'high', 'school', 'marching', 'band', 'invited', 'perform', 'historic', 'moment', 'statego', 'bulldogs', 'prince', 'georges', 'proud', 'p', 'g', 'c', 'p', 's', 'proud']",positive
143,"['congrats', 'frances', 'tiafoe', 'this', 'prince', 'george', 'scott', 'anne']",positive
144,"['we', 'waiting', 'four', 'months']",positive
145,"['police', 'protect', 'community', 'includes', 'protecting', 'exercising', 'right', 'peacefully', 'protest', 'infringing', 'right', 'rioting', 'looting', 'hurting', 'others', 'i', 'joined', 'greg', 'abbott', 'propose', 'turning', 'rioting', 'related', 'offenses', 'felonies']",neutral
146,"['america', 'country', 'opportunity', 'anything', 'possible', 'else', 'could', 'little', 'girl', 'raised', 'taiwan', 'parents', 'fled', 'communism', 'grow', 'serve', 'tx', 'lege', 'thank', 'mom', 'dad', 'teaching', 'value', 'freedom', 'd', 'national', 'immigrants', 'day']",positive
147,"['police', 'protect', 'community', 'includes', 'protecting', 'exercising', 'right', 'peacefully', 'protest', 'infringing', 'right', 'rioting', 'looting', 'hurting', 'others', 'i', 'joined', 'greg', 'abbott', 'propose', 'turning', 'rioting', 'related', 'offenses', 'felonies']",neutral
